date,product_id,sales_units,holiday_season,promotion_applied,competitor_price_index,economic_index,weather_impact,price,discount_percentage,sales_revenue,region_Europe,region_North America,store_type_Retail,store_type_Wholesale,category_Cabinets,category_Chairs,category_Sofas,category_Tables,future_demand
2023-01-01,151,99,0,0,0.9838925858521185,1.3143333872069696,0,126.93292248921064,0.0,12566.359326431853,False,False,True,False,False,True,False,False,95.0
2023-01-02,192,95,1,0,0.9776154652161498,1.439582471569124,0,151.35540538584283,0.0,14378.763511655068,False,True,False,False,True,False,False,False,101.0
2023-01-03,114,101,0,0,0.9839129767369997,1.094794571385757,0,191.70169259666412,0.0,19361.870952263074,False,False,False,True,True,False,False,False,33.0
2023-01-04,171,33,0,0,1.1919563884261373,0.9076724581481159,0,173.1064866431297,0.0,5712.51405922328,False,False,False,True,False,True,False,False,82.0
2023-01-05,160,82,0,1,0.8557113892577042,1.479690103391038,0,138.58749110678303,10.995212637811598,10114.659145155087,True,False,False,False,False,False,True,False,13.0
2023-01-06,120,13,1,0,1.076171902823837,0.8094255858571547,0,117.20992824605626,0.0,1523.7290671987314,False,False,False,True,True,False,False,False,122.0
2023-01-07,182,122,0,0,0.9607984549514226,1.2574142789089233,0,105.6873371412752,0.0,12893.855131235574,True,False,True,False,False,False,True,False,55.0
2023-01-08,186,55,0,1,1.0046906097298054,1.0582069579002082,0,156.18975457425077,18.23607256489178,7023.878267514021,False,False,True,False,False,True,False,False,27.0
2023-01-09,174,27,0,1,1.1049575623424785,0.7285071455144654,0,165.5791427334698,13.758456523078156,3855.546225968396,False,True,True,False,True,False,False,False,52.0
2023-01-10,174,52,0,0,0.8629501770293925,0.5174832874085427,1,59.17592036729942,0.0,3077.14785909957,False,False,False,True,False,False,False,True,170.0
2023-01-11,187,170,0,0,1.105434085054597,0.8837640905040834,0,105.3245203503086,0.0,17905.168459552464,False,True,False,False,False,True,False,False,102.0
2023-01-12,199,102,0,0,0.8281323130737759,1.0476853928773087,0,158.80748409459238,0.0,16198.363377648424,False,False,True,False,False,False,False,False,112.0
2023-01-13,123,112,1,0,0.9933238044839332,0.6831904009534666,0,141.62734967539149,0.0,15862.263163643845,False,False,False,False,False,False,True,False,133.0
2023-01-14,102,133,0,0,1.0968283430798322,0.9145548858612267,0,126.48382773855634,0.0,16822.349089227995,False,True,False,False,False,True,False,False,19.0
2023-01-15,121,19,0,0,0.8770205821418798,1.1151899306589599,1,78.27077486267557,0.0,1487.1447223908358,False,True,True,False,False,True,False,False,82.0
2023-01-16,152,82,0,0,1.1083662584141694,1.2149231264211244,0,129.6593641284834,0.0,10632.067858535638,False,True,False,False,True,False,False,False,196.0
2023-01-17,101,196,0,0,0.8667250027702973,0.5527425299065374,0,130.1860047911054,0.0,25516.456939056658,False,True,False,False,True,False,False,False,40.0
2023-01-18,187,40,0,0,1.1196955027748485,1.1641808218023608,1,97.83796957093483,0.0,3913.5187828373932,True,False,True,False,True,False,False,False,165.0
2023-01-19,129,165,0,0,0.987574229176735,0.5566673088777199,0,192.85394971219634,0.0,31820.901702512398,True,False,False,False,False,False,False,False,69.0
2023-01-20,137,69,0,0,1.0738553327452427,0.5281854953593438,1,137.56184904492048,0.0,9491.767584099513,False,True,False,True,True,False,False,False,140.0
2023-01-21,101,140,0,0,1.1669625833476753,0.6524120259105057,0,173.1254692386109,0.0,24237.565693405526,True,False,True,False,False,True,False,False,127.0
2023-01-22,163,127,0,0,0.9633686094454935,1.1536440572115654,0,43.21247193246034,0.0,5487.983935422463,False,False,True,False,True,False,False,False,192.0
2023-01-23,159,192,0,0,0.8931830107291091,0.5528214428844567,1,156.22032620440226,0.0,29994.302631245235,False,False,True,False,False,False,False,True,23.0
2023-01-24,120,23,0,0,1.1468656386470708,0.5208962122055741,0,128.3364722779714,0.0,2951.7388623933425,False,False,True,False,True,False,False,False,195.0
2023-01-25,132,195,0,1,0.8646466592419113,0.6179595113475539,0,75.4899353100277,21.008775306853234,11627.93276218375,True,False,True,False,False,False,False,False,152.0
2023-01-26,175,152,1,0,1.0525904207349666,1.449720990710571,0,44.54517885806255,0.0,6770.8671864255075,True,False,True,False,False,False,False,True,11.0
2023-01-27,157,11,0,0,1.169301315216246,1.4072777499272164,0,88.33649189851532,0.0,971.7014108836685,False,False,True,False,False,True,False,False,33.0
2023-01-28,121,33,0,0,1.0697586846141223,0.586465975099654,0,99.44789009821672,0.0,3281.7803732411517,False,True,False,True,False,True,False,False,73.0
2023-01-29,188,73,1,0,0.8782724341800061,0.804013183516563,0,45.33727639533372,0.0,3309.621176859361,False,False,False,False,False,False,True,False,109.0
2023-01-30,148,109,0,1,0.8609135807052932,1.4472924390472666,1,140.62283969879883,16.932440796600176,12732.50370761289,True,False,False,True,False,False,False,True,123.0
2023-01-31,190,123,1,0,0.9009222124402364,0.5976876734565012,0,75.27973738721796,0.0,9259.407698627809,False,False,False,False,False,False,True,False,33.0
2023-02-01,158,33,0,0,0.9565627331426314,0.5945959819810342,0,165.0871010068794,0.0,5447.8743332270205,False,False,True,False,False,False,False,True,164.0
2023-02-02,141,164,0,0,0.8636636127399613,0.5860038977347289,0,136.7027799118028,0.0,22419.255905535658,True,False,False,True,False,False,False,True,174.0
2023-02-03,191,174,0,1,1.119125626576527,1.4764762390986759,0,75.8904348190537,18.895100229651124,10709.849830577927,True,False,True,False,False,False,False,False,100.0
2023-02-04,159,100,1,1,0.9428141370435554,1.2431085132824324,0,84.80353053616732,24.384432081486104,6412.467122987326,True,False,False,False,False,False,True,False,176.0
2023-02-05,179,176,0,0,1.1744346943650905,0.7144843673592984,0,189.58656109095057,0.0,33367.2347520073,True,False,False,True,False,False,False,False,35.0
2023-02-06,114,35,1,0,1.1369963456141297,0.545947261296503,0,190.6615136969575,0.0,6673.152979393513,False,False,False,True,False,False,False,True,74.0
2023-02-07,161,74,0,1,1.1635273051206747,1.4652415089115334,0,95.30675087942326,23.642257327870933,5385.282185340107,True,False,False,False,False,True,False,False,129.0
2023-02-08,161,129,1,1,0.9177970860014161,0.9254890417596912,0,142.25061426739202,18.21340515827519,15008.109428045034,False,True,False,False,False,False,False,True,13.0
2023-02-09,146,13,0,0,1.029492617528876,1.0983753882949747,0,196.39499226463394,0.0,2553.134899440241,True,False,False,True,False,False,False,False,166.0
2023-02-10,161,166,0,0,0.928579807216943,0.7791962334981254,0,198.92923285267423,0.0,33022.252653543925,True,False,False,True,False,False,True,False,10.0
2023-02-11,150,10,1,0,0.9027794046323391,1.2583603222909328,0,32.98416062646474,0.0,329.84160626464745,False,False,False,True,False,False,True,False,59.0
2023-02-12,154,59,1,0,1.0428347124810202,0.6968023458940165,1,119.62984489731916,0.0,7058.16084894183,False,True,False,False,False,False,False,False,119.0
2023-02-13,163,119,0,0,1.1271981522399128,1.2869119333755146,0,150.7911041493214,0.0,17944.141393769245,False,True,True,False,False,False,True,False,148.0
2023-02-14,102,148,0,0,0.8374391224506618,0.7306030433350347,0,53.63590028952012,0.0,7938.113242848978,False,True,False,True,True,False,False,False,83.0
2023-02-15,150,83,0,1,0.9103075045464286,0.5979122256841435,0,167.94290422104572,14.135576102631518,11968.86619643055,True,False,False,False,False,True,False,False,196.0
2023-02-16,106,196,0,0,0.8820536723544509,0.9788225545308036,1,104.32178174966658,0.0,20447.06922293465,False,False,False,True,False,True,False,False,71.0
2023-02-17,120,71,0,1,1.1193400692624258,1.313216806895651,0,109.59528613585258,24.476252900978025,5876.703138092046,False,False,False,False,False,True,False,False,90.0
